Category,Field_Name,Data_Type,Example_Data,Notes,Priority
Essential_Information,stadium_name,text,Daikin Park,,High
Essential_Information,city,text,Houston,,High
Essential_Information,country,text,United States,,High
Essential_Information,capacity,integer,41168,,High
Essential_Information,capacity_baseball_specific,integer,41168,For multi-purpose venues,Medium
Essential_Information,gps_latitude,decimal,29.7572,-90 to 90,High
Essential_Information,gps_longitude,decimal,-95.3556,-180 to 180,High
Essential_Information,full_address,text,"501 Crawford St Houston TX 77002",,High
Essential_Information,year_built,integer,2000,,High
Essential_Information,year_opened,integer,2000,,High
Essential_Information,architect_designer,text,HOK Sport (now Populous),,Medium
Essential_Information,home_team_regular,text,Houston Astros,,High
Essential_Information,home_team_league,text,MLB - American League West,,Medium

Sponsor_Information,sponsor_name,text,Daikin Comfort Technologies North America Inc.,,High
Sponsor_Information,sponsor_parent_company,text,"Daikin Industries Ltd. (Japan)",,Medium
Sponsor_Information,sponsor_industry,text,HVAC - Heating Ventilation Air Conditioning,,High
Sponsor_Information,sponsor_what_they_do,text,Manufactures residential commercial and industrial heating and cooling systems,,High
Sponsor_Information,sponsor_year_began,integer,2025,When naming rights started,Medium
Sponsor_Information,sponsor_deal_length_years,integer,15,,Medium
Sponsor_Information,sponsor_deal_end_year,integer,2039,,Low
Sponsor_Information,sponsor_connection_to_region,text,North American HQ and largest HVAC plant in North America located in Houston area,,Medium
Sponsor_Information,previous_stadium_names,text,Enron Field (2000-2002); Astros Field (2002); Minute Maid Park (2002-2024),,Medium
Sponsor_Information,sponsor_community_initiatives,text,Educational programming and youth sports development in underserved communities,,Low
Sponsor_Information,sponsor_motto_slogan,text,Home Means Everything,For loanDepot,Low

Practical_Visitor_Information,parking_availability,text,Multiple parking garages available,,High
Practical_Visitor_Information,parking_cost,text,$20-40 per game,,Medium
Practical_Visitor_Information,parking_nearby_options,text,Street parking and private lots within walking distance,,Medium
Practical_Visitor_Information,public_transportation_nearest,text,METRORail Red Line - Convention District Station,,High
Practical_Visitor_Information,public_transportation_routes,text,METRO Bus Routes 40 75 163,,Medium
Practical_Visitor_Information,gate_entry_count,integer,8,Number of gates,Low
Practical_Visitor_Information,accessibility_features,text,Wheelchair accessible seating elevators ramps,,Medium
Practical_Visitor_Information,nearby_hotels,url_list,https://www.hotels.com/search,Links to hotel search,Medium
Practical_Visitor_Information,nearby_restaurants,url_list,https://www.yelp.com/search,Links to restaurant listings,Medium
Practical_Visitor_Information,nearby_attractions,url_list,https://www.tripadvisor.com/,Tourist attractions within 2 miles,Low

Stadium_Details,field_dimensions_left,integer,315,Feet,Medium
Stadium_Details,field_dimensions_center,integer,435,Feet,Medium
Stadium_Details,field_dimensions_right,integer,326,Feet,Medium
Stadium_Details,playing_surface_type,text,Natural Grass,,Medium
Stadium_Details,grass_type,text,Platinum TE Paspalum,,Low
Stadium_Details,roof_type,text,Retractable,,High
Stadium_Details,roof_open_close_time,integer,20,Minutes to open/close,Low
Stadium_Details,seating_layout_premium,integer,5197,Club seats,Low
Stadium_Details,seating_layout_luxury_suites,integer,63,,Low
Stadium_Details,notable_features,text,Left field train on 800-foot track; Hill in center field; manual scoreboard,,Medium
Stadium_Details,unique_architecture,text,Union Station integration; retractable roof; downtown skyline views,,Medium
Stadium_Details,scoreboard_type,text,LED video board,,Low
Stadium_Details,scoreboard_dimensions,text,54 feet high x 124 feet wide,,Low

WBC_Specific_Content,wbc_2026_pool,text,Pool B,,High
